metric,value
Q3_Q4_performance_and_attack_mix.placement.sidecar.openweb.mean_ms,752.5
Q3_Q4_performance_and_attack_mix.placement.sidecar.openweb.median_ms,696.5
Q3_Q4_performance_and_attack_mix.placement.sidecar.openweb.p95_ms,1090.0
Q3_Q4_performance_and_attack_mix.placement.core_embedded.message.n,30
Q3_Q4_performance_and_attack_mix.placement.core_embedded.message.mean_ms,38.733333333333334
Q3_Q4_performance_and_attack_mix.placement.core_embedded.message.median_ms,37.0
Q3_Q4_performance_and_attack_mix.placement.core_embedded.message.p95_ms,53.0
Q3_Q4_performance_and_attack_mix.placement.core_embedded.file.n,30
Q3_Q4_performance_and_attack_mix.placement.core_embedded.file.mean_ms,17.966666666666665
Q3_Q4_performance_and_attack_mix.placement.core_embedded.file.median_ms,15.0
Q3_Q4_performance_and_attack_mix.placement.core_embedded.file.p95_ms,31.0
Q3_Q4_performance_and_attack_mix.placement.core_embedded.openweb.n,30
Q3_Q4_performance_and_attack_mix.placement.core_embedded.openweb.mean_ms,768.6666666666666
Q3_Q4_performance_and_attack_mix.placement.core_embedded.openweb.median_ms,756.5
Q3_Q4_performance_and_attack_mix.placement.core_embedded.openweb.p95_ms,993.0
Q3_Q4_performance_and_attack_mix.attack_mix.pairs,6
Q3_Q4_performance_and_attack_mix.attack_mix.honest_verified_all_phases,32609
Q3_Q4_performance_and_attack_mix.attack_mix.honest_failures_all_phases,0
Q3_Q4_performance_and_attack_mix.attack_mix.malformed_frames_offered,7049
Q3_Q4_performance_and_attack_mix.attack_mix.malformed_application_responses,0
Q3_Q4_performance_and_attack_mix.attack_mix.honest_verified_during_injection,16381
Q3_Q4_performance_and_attack_mix.attack_mix.throughput_change_mean_pct,0.8378333333333333
Q3_Q4_performance_and_attack_mix.attack_mix.throughput_change_ci95_pct,"[-1.9190088387233244,3.594675505389991]"
Q3_Q4_performance_and_attack_mix.attack_mix.achieved_malformed_share_pct_range,"[28.836000000000002,30.444]"
Q5_rotation_and_traceability.one_hour.verified_actions,240
Q5_rotation_and_traceability.one_hour.used_key_ids,59
Q5_rotation_and_traceability.one_hour.retained_latency_values,239
Q5_rotation_and_traceability.matched_rotation_probes.30.verified_actions,60
Q5_rotation_and_traceability.matched_rotation_probes.30.used_key_ids,17
